,country,HDI,suicides/100k pop
0,Albania,0.608,1.319090909090909
1,Albania,0.611,2.7133333333333334
2,Albania,0.617,2.681666666666667
3,Albania,0.629,3.379166666666667
4,Albania,0.639,5.04375
5,Albania,0.649,5.543333333333333
6,Albania,0.66,5.8175
7,Albania,0.667,2.558333333333333
8,Albania,0.6729999999999999,4.218333333333333
9,Albania,0.68,5.209166666666667
10,Albania,0.687,4.883333333333334
11,Albania,0.6920000000000001,5.449166666666667
12,Albania,0.7020000000000001,0.0
13,Albania,0.7090000000000001,0.0
14,Albania,0.718,5.4875
15,Albania,0.7240000000000001,5.920833333333334
16,Albania,0.7290000000000001,0.0
17,Albania,0.74,3.4716666666666662
18,Armenia,0.585,3.4050000000000007
19,Armenia,0.59,4.254166666666667
20,Armenia,0.6,5.560833333333334
21,Armenia,0.604,4.315833333333333
22,Armenia,0.614,3.0875000000000004
23,Armenia,0.625,2.685833333333333
24,Armenia,0.629,3.822500000000001
25,Armenia,0.633,3.4266666666666663
26,Armenia,0.637,2.2849999999999997
27,Armenia,0.644,2.0566666666666666
28,Armenia,0.649,2.858333333333334
29,Armenia,0.653,2.481666666666667
30,Armenia,0.6629999999999999,3.172500000000001
31,Armenia,0.672,2.785833333333334
32,Armenia,0.708,3.6391666666666667
33,Armenia,0.7240000000000001,3.03
34,Armenia,0.727,2.9291666666666667
35,Armenia,0.7290000000000001,3.367500000000001
36,Armenia,0.733,2.7483333333333335
37,Armenia,0.737,3.0475000000000008
38,Armenia,0.743,3.1233333333333335
39,Armenia,0.746,3.084166666666666
40,Armenia,0.748,3.7733333333333334
41,Austria,0.795,29.481666666666666
42,Austria,0.799,29.622500000000006
43,Austria,0.805,28.47833333333334
44,Austria,0.809,28.99666666666666
45,Austria,0.813,28.634999999999994
46,Austria,0.8170000000000001,29.007499999999993
47,Austria,0.82,28.554166666666664
48,Austria,0.8240000000000001,24.791666666666675
49,Austria,0.828,24.115
50,Austria,0.8340000000000001,23.358333333333334
51,Austria,0.838,23.61208333333333
52,Austria,0.8420000000000001,21.421666666666667
53,Austria,0.8490000000000001,21.497916666666658
54,Austria,0.855,19.604166666666664
55,Austria,0.861,18.241666666666664
56,Austria,0.8809999999999999,18.109166666666667
57,Austria,0.884,18.0375
58,Austria,0.8859999999999999,17.768333333333334
59,Austria,0.895,17.295833333333338
60,Austria,0.8959999999999999,17.676666666666666
61,Austria,0.897,17.624166666666667
62,Austria,0.899,17.219166666666666
63,Austria,0.904,17.484999999999996
64,Austria,0.9059999999999999,16.218333333333334
65,Azerbaijan,0.612,1.3379166666666666
66,Azerbaijan,0.618,1.5491666666666666
67,Azerbaijan,0.627,0.8891666666666665
68,Azerbaijan,0.634,0.715
69,Azerbaijan,0.6409999999999999,1.2008333333333334
70,Azerbaijan,0.649,5.004166666666667
71,Azerbaijan,0.6579999999999999,1.6183333333333332
72,Azerbaijan,0.667,2.2558333333333334
73,Azerbaijan,0.674,1.5274999999999999
74,Azerbaijan,0.7120000000000001,0.9858333333333335
75,Belarus,0.6559999999999999,33.6675
76,Belarus,0.6609999999999999,37.97583333333333
77,Belarus,0.667,37.20833333333333
78,Belarus,0.6709999999999999,37.97
79,Belarus,0.6759999999999999,37.53
80,Belarus,0.682,37.275
81,Belarus,0.6890000000000001,34.97083333333334
82,Belarus,0.696,34.24999999999999
83,Belarus,0.7040000000000001,37.071666666666665
84,Belarus,0.7559999999999999,29.657500000000002
85,Belarus,0.774,29.346666666666664
86,Belarus,0.784,31.294999999999998
87,Belarus,0.792,27.664999999999996
88,Belarus,0.7979999999999999,24.94666666666667
89,Belarus,0.8079999999999999,22.776666666666667
90,Belarus,0.8109999999999999,21.075833333333332
91,Belgium,0.8059999999999999,23.092499999999998
92,Belgium,0.81,22.001666666666665
93,Belgium,0.825,22.156666666666666
94,Belgium,0.838,25.039166666666663
95,Belgium,0.845,25.033333333333335
96,Belgium,0.851,23.825000000000003
97,Belgium,0.857,22.295
98,Belgium,0.862,23.728333333333328
99,Belgium,0.866,22.061666666666664
100,Belgium,0.868,19.225
101,Belgium,0.873,22.316666666666666
102,Belgium,0.8759999999999999,21.768333333333334
103,Belgium,0.879,20.654999999999998
104,Belgium,0.882,20.727499999999996
105,Belgium,0.885,19.255000000000003
106,Belgium,0.889,19.312500000000004
107,Belgium,0.8959999999999999,17.90833333333333
108,Belgium,0.899,18.01277777777777
109,Belgium,0.903,18.348333333333333
110,Belgium,0.904,18.8925
111,Belgium,0.905,18.094166666666666
112,Belgium,0.9079999999999999,16.795833333333338
113,Belgium,0.91,16.820833333333336
114,Belgium,0.9129999999999999,16.388333333333332
115,Bosnia and Herzegovina,0.904,0.10916666666666668
116,Bosnia and Herzegovina,0.91,9.125
117,Bulgaria,0.69,23.196666666666673
118,Bulgaria,0.691,24.109166666666667
119,Bulgaria,0.6940000000000001,21.36916666666667
120,Bulgaria,0.6970000000000001,23.15416666666667
121,Bulgaria,0.703,24.683333333333337
122,Bulgaria,0.7040000000000001,23.03
123,Bulgaria,0.7090000000000001,20.8925
124,Bulgaria,0.71,25.38416666666667
125,Bulgaria,0.7120000000000001,21.60166666666667
126,Bulgaria,0.722,20.385
127,Bulgaria,0.7290000000000001,20.6125
128,Bulgaria,0.738,17.304166666666667
129,Bulgaria,0.745,15.343333333333332
130,Bulgaria,0.75,14.838333333333333
131,Bulgaria,0.7559999999999999,15.544166666666667
132,Bulgaria,0.764,14.480833333333335
133,Bulgaria,0.7709999999999999,14.195
134,Bulgaria,0.774,12.868333333333332
135,Bulgaria,0.779,13.187500000000005
136,Bulgaria,0.782,11.126666666666665
137,Bulgaria,0.7859999999999999,13.680833333333332
138,Bulgaria,0.792,11.180000000000001
139,Bulgaria,0.797,11.6475
140,Croatia,0.696,25.461666666666662
141,Croatia,0.708,27.899166666666662
142,Croatia,0.72,26.141666666666666
143,Croatia,0.731,28.691666666666674
144,Croatia,0.74,27.273333333333337
145,Croatia,0.7490000000000001,26.895833333333332
146,Croatia,0.7609999999999999,23.96166666666667
147,Croatia,0.767,25.343333333333334
148,Croatia,0.773,23.47416666666666
149,Croatia,0.779,25.186666666666667
150,Croatia,0.785,22.46416666666666
151,Croatia,0.794,20.684999999999995
152,Croatia,0.8009999999999999,20.2875
153,Croatia,0.804,21.190833333333334
154,Croatia,0.805,22.14083333333333
155,Croatia,0.8109999999999999,20.164166666666667
156,Croatia,0.8170000000000001,18.425833333333333
157,Croatia,0.82,19.9175
158,Croatia,0.825,17.524999999999995
159,Croatia,0.8270000000000001,18.503333333333334
160,Croatia,0.83,19.139999999999997
161,Cyprus,0.797,0.13083333333333333
162,Cyprus,0.799,0.6966666666666667
163,Cyprus,0.826,0.7641666666666665
164,Cyprus,0.83,2.061666666666666
165,Cyprus,0.836,2.3033333333333332
166,Cyprus,0.8440000000000001,3.0141666666666667
167,Cyprus,0.85,4.906666666666666
168,Cyprus,0.852,4.24875
169,Cyprus,0.853,3.6483333333333334
170,Cyprus,0.8540000000000001,5.005833333333333
171,Cyprus,0.856,4.758333333333334
172,Cyprus,0.8640000000000001,4.132499999999999
